Firstname,Lastname,Email,Language,Birthdate,IP,Marketing,Newsletter,Question,Persons
Ethelyn,Erdman,cielo99@example.net,kg,2014-12-22,172.23.42.176,1,0,exercitationem,architecto
Sally,Kozey,blangworth@example.net,mn,1983-05-31,10.249.58.101,0,0,ut,corrupti
Edwin,Dickens,bell76@example.net,vi,1974-09-10,10.248.113.65,1,0,consectetur,veniam
April,Funk,crooks.mitchell@example.org,ii,2004-05-31,192.168.67.98,1,0,quasi,aliquid
Torrey,Hettinger,francesco.sawayn@example.com,no,1971-04-15,10.229.132.114,0,0,eum,temporibus
Rahul,Jones,roberts.freddie@example.org,tw,2018-08-06,172.26.215.212,0,0,voluptates,eveniet
Manuel,Crist,luettgen.rebekah@example.org,lt,2010-09-15,192.168.72.148,0,0,sunt,voluptas
Arch,Barrows,rosanna.hessel@example.org,sg,2007-12-30,172.30.24.232,1,1,occaecati,nihil
Talia,Trantow,raleigh.carter@example.net,si,1971-07-19,172.29.221.248,1,1,est,corporis
Carolina,O'Conner,morissette.katherine@example.net,na,2015-02-16,10.55.221.178,1,0,nihil,dolores
prenom,Nom,juliette.delpech@gmail.com,fr,06/24/1975,127.0.0.1,1,1,gin,2
